,churn
6624,1
6657,1
53461,1
13971,1
3685,1
32569,1
55889,1
27554,1
15957,1
4141,1
37014,0
21287,1
5815,1
13526,1
814,1
35503,1
12868,1
3697,1
10514,1
15347,1
17504,1
33920,0
3348,1
47211,1
47645,1
24701,1
48320,1
38173,1
55799,1
17715,1
46425,0
14701,1
40828,1
14871,1
24179,1
25795,1
4405,1
47419,1
15728,1
3333,1
15611,1
23036,1
17746,1
14342,1
3272,1
23577,1
17036,1
19958,1
649,1
9773,1
27005,1
3528,1
281,1
3711,1
14967,1
15697,1
37419,1
4127,1
27761,1
22815,1
28097,1
58594,1
31292,1
18489,1
39217,1
17491,1
21957,1
34334,1
47564,0
49905,1
63719,1
4618,1
9864,1
13438,0
4449,1
36953,1
3347,1
14993,1
6963,1
65167,1
68487,1
19010,1
20056,1
10454,1
26585,1
19752,1
2613,1
3786,1
31173,1
21151,1
26971,1
7390,1
19413,1
29049,1
36527,1
37444,0
49377,0
13358,1
2697,1
6006,1
26503,1
5909,1
13245,1
16272,1
12412,1
20656,1
46,1
54930,0
37308,1
622,1
19610,1
9046,1
30867,1
18466,1
35021,1
8570,1
11996,1
39,1
26114,1
2890,1
3559,1
12775,1
53871,1
31002,1
39943,0
24919,1
2653,1
1027,1
52216,1
18684,1
25588,1
20812,1
12588,1
5666,1
37125,1
12467,1
31914,1
38653,1
24049,0
11328,1
30671,1
44972,1
47309,0
24940,0
21030,1
9604,1
37328,0
8810,1
48018,1
44692,1
358,1
55423,1
12220,1
19738,0
22182,1
22122,1
25758,1
21456,1
8171,1
28619,1
395,1
7735,1
500,1
16649,1
25001,1
3566,1
29523,1
15193,1
24742,1
4697,1
5197,1
34460,1
43462,1
6334,1
4642,1
51709,1
1168,1
9422,1
7724,1
24267,1
2851,1
36341,0
30008,1
7519,1
12770,1
19268,1
30184,1
50406,1
17167,1
9520,1
27138,1
38090,1
23581,1
41599,1
9373,1
10766,1
25972,1
658,1
19525,1
60259,1
27941,1
43059,1
53857,1
18388,1
16731,1
35049,1
51171,0
20043,1
1269,1
3056,1
6039,1
19559,1
5003,1
28275,1
8605,1
25534,1
11604,1
72207,1
9354,1
23355,1
21682,1
70375,0
19391,1
26029,1
12549,1
13410,1
7446,1
49013,1
22905,1
11622,1
20751,1
9774,1
8928,1
46297,1
5552,1
9595,1
5877,1
49034,1
1327,1
33433,1
16729,1
3733,1
20436,1
31834,1
7789,1
15159,1
42696,1
23448,1
57974,1
70321,1
178,1
11051,1
52115,1
4696,1
20482,1
36635,1
3712,1
30094,1
27744,1
54378,0
32498,1
3020,1
226,1
14537,1
232,1
9553,1
12586,1
10476,1
5901,1
4784,1
17666,1
48425,1
1902,1
44449,1
6105,1
14493,1
17379,1
1229,1
5027,1
641,0
30780,1
756,1
20478,1
39103,1
4469,1
4084,1
31492,1
13270,1
29491,1
18727,0
46612,1
63686,0
13,1
29120,1
23502,1
14270,1
5581,1
12137,1
41712,0
25160,1
6220,1
15481,1
26002,1
22758,1
54393,1
20044,1
6554,1
38542,1
7579,1
800,1
23846,1
28590,1
36394,1
14308,1
54984,1
23132,1
22882,1
338,1
6876,1
3517,1
29363,1
49489,1
5427,1
39143,0
4343,1
4055,1
31445,0
4479,1
20023,1
1444,1
22900,1
31943,1
23247,1
27344,1
8478,1
20749,1
70479,1
4100,1
59968,1
4430,1
19922,1
11573,1
19332,1
44904,1
15681,1
13664,1
2820,1
5914,1
8349,1
21226,1
57424,0
52773,1
21792,1
308,1
8353,1
19587,1
8752,1
16725,1
33452,1
50566,1
1335,1
46901,0
3772,1
33685,0
27037,1
27689,1
13102,1
3649,1
30067,1
7341,1
9450,1
1882,1
31231,1
1891,1
7179,1
15616,1
16085,1
12131,1
29077,1
20150,1
25859,1
3016,1
21791,1
7110,1
10559,1
22545,1
10883,1
26954,1
15936,1
17199,1
22754,1
17739,1
21924,1
1952,1
18702,1
14557,1
40134,1
10175,0
22058,1
10721,1
11892,1
18424,1
16389,1
4814,1
11247,1
12156,1
27073,1
10403,0
71485,0
10297,1
42328,1
12611,0
28646,1
13788,1
33835,1
8073,1
19066,1
5298,1
27601,1
32036,1
45605,1
24782,0
32563,1
47648,0
16373,1
16974,1
40684,1
5510,1
33517,1
6926,1
20442,1
636,1
25120,1
20692,1
7087,1
38460,1
27496,1
29492,1
27954,0
28732,1
49196,0
11575,0
48465,1
10220,0
50722,0
11710,1
13988,1
7067,1
15606,1
17934,1
547,1
5617,1
27289,1
14629,1
48352,1
36140,1
53643,1
26881,1
18318,1
3552,1
8508,1
12866,1
21617,1
32343,1
49511,1
47224,0
5144,1
27347,1
12127,1
5593,1
51342,1
10120,1
37050,1
20581,1
7920,1
701,1
24563,1
15650,1
11669,1
44308,0
9847,1
33803,1
5843,1
18407,1
292,1
47982,1
687,1
44397,0
15287,0
19118,1
2562,1
6239,1
1777,1
15470,1
32138,1
47075,1
11351,1
2015,1
45882,1
18581,1
58120,1
39891,1
5249,0
21444,1
17567,0
3757,1
17193,1
2833,1
28009,1
254,1
2273,1
31254,1
37936,1
16401,1
33796,1
44322,1
36946,1
25153,1
656,1
13946,1
32787,0
12911,1
22254,1
31894,1
49332,0
30270,0
17791,1
4442,1
14296,1
12599,1
21214,0
49609,0
31949,1
18280,1
18167,1
52673,1
17506,1
3295,1
28115,1
34689,1
2449,1
24221,1
22064,1
71348,0
12074,1
33451,0
13930,1
17595,1
5476,1
7972,0
9134,1
40312,1
7002,1
34696,1
37844,1
1738,1
56852,0
34891,1
3952,1
21436,1
16793,1
64235,1
24548,1
28542,1
1169,1
66235,1
25320,1
12600,1
9456,1
24959,1
26454,1
13695,1
45841,1
54786,0
26616,1
48544,1
25587,1
36892,1
10662,1
1022,1
62284,0
8901,1
1656,1
22481,1
6736,1
24856,1
18952,1
16405,0
46649,1
59205,1
18872,1
39865,1
8684,1
1942,1
34071,1
47630,1
2161,1
4625,1
8983,1
5430,1
2812,1
8326,1
12088,1
34729,0
46124,1
17283,0
33208,1
18329,1
27081,1
2475,1
3377,1
19257,1
34348,1
10391,1
35567,1
7016,1
33015,1
8312,1
48147,1
5426,1
10051,1
39298,1
22635,1
7525,1
727,1
5862,1
1854,1
14996,0
29557,1
4180,1
7731,1
4858,1
16632,1
16001,1
50651,0
5481,1
3617,1
10153,1
13164,1
45403,1
18038,1
19386,1
8142,1
15462,1
6158,1
9823,1
48643,1
2439,1
25854,1
25812,1
26066,1
57682,1
1085,1
16011,0
4974,1
4896,1
4581,0
13446,1
24321,1
13736,1
16897,0
16991,1
23324,0
13034,1
1831,1
43231,1
41349,1
17816,1
47394,0
11324,0
2456,1
17966,1
181,1
4104,1
20858,0
63069,0
21160,1
19849,1
10002,1
40476,1
29658,1
5596,1
6927,1
19035,1
28997,1
12076,1
16044,1
1815,1
21107,1
3276,1
11178,1
38182,0
56439,1
7322,1
58168,1
14857,1
6429,1
57374,1
5247,1
10301,1
21724,1
26785,1
31089,1
29053,1
2523,1
66853,1
31859,1
4628,1
18064,1
56027,1
4992,1
32267,1
17938,1
21961,1
25114,1
5042,1
18374,1
12569,1
8391,1
47350,1
49682,1
11579,1
1890,1
21100,1
8281,1
19956,1
34860,1
28526,1
19361,1
13589,1
1575,1
36238,1
1101,1
17952,1
2937,1
12758,1
56253,1
8950,1
299,1
23894,1
44598,1
53939,1
57665,1
22927,1
3491,1
1983,1
32515,1
6456,1
3527,1
8503,1
12816,1
34656,1
30125,1
447,1
71909,1
6648,1
561,1
12265,1
3562,1
15572,1
52781,1
24978,1
24383,1
54920,1
3937,1
4053,1
33415,1
12204,1
23763,1
48020,1
8646,1
18944,1
28117,0
18322,1
36670,1
36269,1
15792,1
20329,1
513,1
33519,1
29436,1
52341,1
27751,1
3467,0
287,1
40135,0
13399,1
25039,1
13505,1
11715,1
3390,0
8966,1
2877,1
63693,0
10718,1
7717,1
24717,1
5261,1
26539,1
22176,1
16752,0
12398,1
25395,1
13112,1
37631,1
46334,1
30154,1
29719,1
3143,1
2502,1
63842,1
8126,1
2668,1
46259,1
6902,1
5045,1
4735,1
44916,1
53157,1
25737,1
65,1
4089,1
2512,1
21256,1
33097,1
36531,1
29244,1
44535,1
45883,1
2876,1
8628,1
16129,1
13001,1
53388,1
10260,1
6012,1
36141,1
3443,1
22089,1
45927,1
54379,1
16362,1
35783,1
5613,1
47696,0
15363,1
17514,0
16814,1
24589,1
40388,1
38444,1
1651,1
32839,1
14216,1
386,1
14798,1
49829,0
6373,1
9177,1
24441,1
14764,1
26874,1
2220,1
8365,1
51294,1
7231,1
24182,1
43050,1
27979,1
32103,1
15196,1
15502,1
19278,1
4450,1
41709,1
25915,1
16090,1
23128,1
1424,1
37989,1
28254,1
50971,1
42980,1
21115,1
2257,1
2808,1
2317,1
46072,1
19110,1
57045,1
13668,1
48449,1
25825,1
16778,1
15599,1
30574,1
17757,1
25572,1
37685,1
51443,1
60419,0
10341,0
34567,0
33617,1
13894,1
10574,0
55304,1
40445,1
14030,1
3888,1
7701,1
28978,1
4214,1
4080,1
56057,1
18120,1
5176,1
31705,1
57063,1
42829,1
316,1
49490,1
8006,1
3402,1
6894,1
25384,1
46831,1
14560,1
19409,1
9742,1
10962,1
5256,1
24696,1
40735,1
33457,1
36321,0
26419,1
12774,1
26448,1
11860,1
289,1
6933,1
13772,1
13701,1
10348,1
25739,1
46731,1
18973,1
12826,1
9786,1
32373,1
18636,1
3292,1
20733,1
35944,1
5087,1
6183,1
2267,0
67252,0
12789,1
21461,1
37730,1
12100,1
65281,0
37212,1
5756,1
27338,1
28848,1
3318,1
17745,1
24445,1
29029,1
26559,1
23410,1
25495,1
2302,1
3956,1
1502,1
50625,1
11870,1
39552,1
56279,1
2947,1
61553,1
16128,1
25799,0
18023,1
12619,1
21131,1
40242,1
13267,0
10870,0
9186,1
7123,1
3979,1
16547,1
11474,1
12217,1
10049,1
18655,1
3652,1
7348,1
27872,1
10094,1
13626,1
5049,1
25258,1
48736,1
4223,1
14543,1
27863,1
32730,1
13939,1
16379,1
15473,1
34952,1
4888,1
50324,0
33805,1
3118,1
24234,1
17275,1
17164,1
10707,1
981,1
15200,1
21139,1
28083,1
18674,1
51485,1
8227,1
7201,1
23922,1
13961,1
2391,1
5110,1
37620,1
18331,1
11924,1
8247,1
21090,1
12307,1
39116,1
49603,0
7638,1
20545,1
13751,1
44475,1
9761,1
13572,1
2156,1
36736,1
15869,1
6489,1
10795,1
5585,1
4839,1
2721,1
25492,0
50863,1
24981,1
17828,1
4120,1
21772,1
34882,1
29375,1
24648,1
36422,0
23284,1
8023,1
14844,1
8990,1
10193,1
58588,0
29725,1
6394,1
711,1
20944,1
2940,1
50984,1
22381,1
3285,1
4497,1
11326,1
26597,1
24164,1
12991,1
21052,1
2155,1
10415,1
3837,1
26314,1
32484,1
19044,1
18694,1
11176,1
36281,1
46686,1
52286,1
17050,1
32396,1
2030,1
244,1
16208,1
29564,1
3367,1
19297,1
1417,1
10299,1
34615,1
3515,1
12325,1
29072,1
3892,1
21935,1
10845,1
14751,1
31418,1
24616,1
7954,1
20407,1
47971,0
25035,1
6413,1
2105,1
28844,0
9210,1
36039,1
12427,1
3569,1
41613,1
4236,1
13492,1
56556,0
49109,1
2675,1
24178,1
9707,1
5884,1
23997,1
3153,1
3910,1
24826,0
18032,1
6214,1
2831,1
50266,1
3452,1
20705,1
24961,1
8473,1
29717,1
10659,0
13611,1
3737,1
14607,1
40481,1
880,1
11930,1
8319,1
7421,1
2103,1
47097,1
16660,1
49298,1
9386,1
30964,1
