,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit
6624,1,0,2.08,0,,0,0.0,0.0,7
6657,0,0,1.32,23,,0,0.0,0.0,0
53461,1,1,1.98,11,,0,1.9,0.2,0
13971,1,0,5.22,24,,0,14.3,1.2,0
3685,0,0,1.98,52,,6,0.0,0.0,0
32569,1,0,4.04,22,,0,29.2,4.9,0
55889,1,1,1.47,20,,0,24.2,7.6,0
27554,0,0,0.55,53,,0,34.0,4.9,0
15957,1,1,2.95,23,,1,13.8,0.9,0
4141,1,1,2.22,21,,1,0.0,0.0,0
37014,0,0,3.7,33,,1,177.8,13.5,0
21287,0,0,0.94,20,,0,0.0,0.0,0
5815,1,1,3.69,23,,0,11.0,0.4,0
13526,0,0,3.3,24,,0,11.7,0.6,0
814,1,1,5.19,0,,0,0.0,0.0,0
35503,1,0,1.79,26,,0,65.3,6.4,0
12868,0,0,0.04,1,,0,0.0,0.0,0
3697,0,0,1.4,21,,0,0.0,0.0,0
10514,0,0,2.39,0,,0,14.7,0.7,0
15347,1,0,2.76,24,,0,12.8,1.9,0
17504,1,1,2.25,21,,0,2.0,0.1,0
33920,1,0,4.13,20,,0,39.2,1.9,0
3348,1,1,3.68,21,,2,9.4,1.1,0
47211,1,0,0.17,29,,0,2.0,0.1,0
47645,0,0,0.44,13,,0,14.9,0.5,0
24701,0,0,0.56,18,,0,0.0,0.0,0
48320,1,0,0.41,18,,1,70.3,6.1,0
38173,0,0,1.88,25,,0,63.2,6.6,0
55799,1,0,1.99,20,,0,54.2,22.4,0
17715,1,0,1.98,16,,0,0.0,0.0,0
46425,1,0,2.56,26,,0,55.3,3.8,0
14701,1,0,2.12,22,,1,6.1,0.9,0
40828,1,0,1.25,24,,4,30.6,1.1,0
14871,1,0,1.98,0,,0,0.0,0.0,0
24179,1,0,2.72,23,,0,8.1,0.4,0
25795,1,0,0.13,0,,0,0.0,0.0,0
4405,1,0,6.2,27,,1,120.6,8.6,0
47419,0,0,2.17,139,,0,1.4,2.7,0
15728,1,0,2.21,39,,0,40.4,2.1,0
3333,1,1,1.45,13,,0,0.0,0.0,0
15611,1,0,3.21,16,,0,24.0,2.7,0
23036,1,0,2.0,22,,0,14.8,1.3,0
17746,0,0,1.99,36,,0,38.6,1.8,0
